last_location,average_delay,occ
"Pinarayi, Pinarayi, KERALA",30.0000,0
"Rahata, Rahata, MAHARASHTRA",30.0000,0
"DELHI CONTINGENCY HU",29.1667,0
SHMH,29.0000,0
PCAR,29.0000,0
"SURAT, GUJARAT, IN",29.0000,0
"Hosur, Tamil Nadu, IN",29.0000,0
"Theni, Tamil Nadu, IN",29.0000,0
"Usgao, Ponda Goa, GOA",29.0000,0
"Patran, Patran, PUNJAB",29.0000,0
"Rajgarh, RAJGARH, RAJASTHAN",29.0000,0
"RAJNANDGAON, CHHATTISGARH, IN",29.0000,0
"Sindhekela, Balangir, ORISSA",29.0000,0
JHAJJHAR,28.2000,0
JODHPUR,28.1538,0
SurajpurNoidahub_DEL,28.0000,0
Vadodara,28.0000,0
SIDM,27.0000,0
SrinagarHubtemp_SRG,27.0000,0
RJSCMokokchungODH_MKK,27.0000,0
"TALEGAON PUD CENTRE",26.4000,0
VZGP,26.0000,0
SHIMLA,26.0000,0
"JODHPUR TRANSIT HUB",26.0000,0
"CHIKU WADI",26.0000,0
"UDAIPUR, RAJASTHAN, IN",26.0000,0
"Seelanaikenpatti, Salem, TAMIL NADU",26.0000,0
"Papum Pare, ARUNACHAL PRADESH, IN",26.0000,0
"VAPI WAREHOUSE",25.0000,0
"GUWAHATI, ASSAM, IN",25.0000,0
PEENYA,24.5833,0
TRVH,24.0000,0
SANGHVI,24.0000,0
ThenjipalamHub_TJI,24.0000,0
Thiruchengodeodh_TCG,24.0000,0
"Santacruz West, Mumbai, MAHARASHTRA",24.0000,0
"Tendukheda, TENDUKHEDA, MADHYA PRADESH",24.0000,0
"Sunder Nagar",23.0000,0
"KOM SERVICE CENTRE",23.0000,0
"RTO CPU MUMBAI",23.0000,0
"SAHARANPUR, SAHARANPUR, UTTAR PRADESH",23.0000,0
"UDAIPUR E-TAIL",22.5000,0
"JAMMU HUB",22.3333,0
"RJK HUB",22.0000,0
"VASANTKUNJ COUNTER",22.0000,0
"UDI AIR HUB",21.9000,0
VIMN,21.6667,0
VIJA,21.6364,0
GBTE,21.0000,0
IDRH,21.0000,0
RJSCKhliehriatMDH_KHL,21.0000,0
TTSPLBaijnathODH_BJN,21.0000,0
"GANDHIDHAM HUB",21.0000,0
"MORAIYA, GUJARAT, IN",20.5833,0
"KOCHIN HUB",20.5000,0
"BHIWANDI/LH1, Bhiwandi, MAHARASHTRA",20.4286,0
"Phalodi, Phalodi, RAJASTHAN",20.0000,0
BSGD,19.7500,0
"HYDERABAD HUB",19.5556,0
"Seoni, Seoni, MADHYA PRADESH",19.5000,0
"NGP/LH1, Nagpur, MAHARASHTRA",19.4762,0
JhandewalanHub_DEL,19.0000,0
Jalpaiguri,19.0000,0
"SAROLI ETAIL OPERATIONS",18.3333,0
"INDIRAPURAM SERVICECENTRE",18.1667,0
"RAJEEV CHOWK (RJCX)",18.0000,0
"IDR/MSR, Indore, MADHYA PRADESH",18.0000,0
"LKO/LH1, Lucknow, UTTAR PRADESH",18.0000,0
"Zirakpur, MOHALI, PUNJAB",17.5000,0
"Salem, Tamil Nadu, IN",17.4000,0
Fkl-ahmedabad01,17.3636,0
SarfabadNoidahub_DEL,17.0000,0
PANCHKULA,17.0000,0
"GOPINATH BAZAR HUB",17.0000,0
"NATIONAL HIGHWAY HUB",17.0000,0
"RNC/KKR, Ranchi, JHARKHAND",17.0000,0
"CCU/PCK, Kolkata, WEST BENGAL",17.0000,0
"HYDERABAD, TELANGANA, IN",16.8000,0
"VASANT VIHAR",16.7544,0
"UNNAO, UTTAR PRADESH, IN",16.7500,0
MKPV,16.5000,0
LKOH,16.0000,0
UDAIPUR,16.0000,0
