last_location,average_delay,occ
"PNJ GROUND WAREHOUSE",5.5000,0
"Motherhub_JKS Gurgaon",5.5000,0
SHILLONG,5.5000,0
RISHIKESH,5.5000,0
"SAMBALPUR BDEL",5.5000,0
KOTTAYAM,5.3333,0
"SIDHAULI (SITAPUR)",5.3333,0
GOIH,5.0000,0
IXBH,5.0000,0
JMDE,5.0000,0
MLRE,5.0000,0
KATHUA,5.0000,0
MOHALI,5.0000,0
SANGLI,5.0000,0
NAGROTAR,5.0000,0
SIDDIPET,5.0000,0
Thiruvalla,5.0000,0
TTSPLJambusarODH_JBS,5.0000,0
RayachotiHub_RYC,5.0000,0
KOTKAPURA,5.0000,0
SANQUELIM,5.0000,0
SHIVAMOGGA,5.0000,0
SHRIRAMPUR,5.0000,0
"LUDHIANA CITY",5.0000,0
"RANCHI, JHARKHAND, IN",5.0000,0
"Kharar, Kharar, PUNJAB",5.0000,0
"Rupana, Rupana, PUNJAB",5.0000,0
"Nalagarh, Baddi, HIMACHAL PRADESH",5.0000,0
"LASTMILE E-TAIL DELIVERY",5.0000,0
"Kaithal, Kaithal, HARYANA",5.0000,0
"GAU/PC1, Guwahati, ASSAM",5.0000,0
"NGP/MNR, Nagpur, MAHARASHTRA",5.0000,0
"MAA/LH1, Chennai, TAMIL NADU",5.0000,0
"SULLURU, ANDHRA PRADESH, IN",5.0000,0
"UNA, UNA, HIMACHAL PRADESH",5.0000,0
"Singanallur, Coimbatore, TAMIL NADU",5.0000,0
